"","gbifID","accessRights","bibliographicCitation","language","license","modified","publisher","references","rightsHolder","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory"
"1",1449933348,NA,"Carcharodon carcharias (Shark S24 - 113)","en","CC_BY_4_0",2014-02-12,NA,NA,"NIWA",NA,NA,NA,NA,"NIWA","MBIS White shark tagging",NA,NA,"MACHINE_OBSERVATION",NA,NA,NA,2202,"Shark S24 - 113",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,"Shark S24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific Ocean",NA,NA,"AU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.3048,150.467,10000,NA,NA,NA,NA,"POINT (150.467 -20.3048)",NA,NA,NA,NA,NA,NA,"Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:105838",NA,NA,NA,NA,NA,NA,"Carcharodon carcharias (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Lamniformes",NA,"Lamnidae",NA,NA,NA,"Carcharodon","Carcharodon",NA,NA,"carcharias",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"d55a864e-6259-4981-83f8-7941c0c3c118","NZ",2024-01-25 00:53:20.725,NA,NA,NA,NA,NA,"COUNTRY_DERIVED_FROM_COORDINATES",NA,TRUE,FALSE,2420694,2420694,1,44,121,885,5888,2420693,NA,2420694,"Carcharodon carcharias","Carcharodon carcharias (Linnaeus, 1758)","Carcharodon carcharias",NA,"EML",2024-01-25 00:53:20.725,2023-03-26 01:37:01.679,TRUE,NA,NA,FALSE,"OCEANIA","OCEANIA",NA,NA,NA,NA,NA,NA,NA,NA,"VU"
"2",1449933347,NA,"Carcharodon carcharias (Shark S24 - 116)","en","CC_BY_4_0",2014-02-12,NA,NA,"NIWA",NA,NA,NA,NA,"NIWA","MBIS White shark tagging",NA,NA,"MACHINE_OBSERVATION",NA,NA,NA,2205,"Shark S24 - 116",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,"Shark S24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific Ocean",NA,NA,"AU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.795,150.671,10000,NA,NA,NA,NA,"POINT (150.671 -17.795)",NA,NA,NA,NA,NA,NA,"Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:105838",NA,NA,NA,NA,NA,NA,"Carcharodon carcharias (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Lamniformes",NA,"Lamnidae",NA,NA,NA,"Carcharodon","Carcharodon",NA,NA,"carcharias",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"d55a864e-6259-4981-83f8-7941c0c3c118","NZ",2024-01-25 00:53:20.725,NA,NA,NA,NA,NA,"COUNTRY_DERIVED_FROM_COORDINATES",NA,TRUE,FALSE,2420694,2420694,1,44,121,885,5888,2420693,NA,2420694,"Carcharodon carcharias","Carcharodon carcharias (Linnaeus, 1758)","Carcharodon carcharias",NA,"EML",2024-01-25 00:53:20.725,2023-03-26 01:37:01.679,TRUE,NA,NA,FALSE,"OCEANIA","OCEANIA",NA,NA,NA,NA,NA,NA,NA,NA,"VU"
"3",1449933346,NA,"Carcharodon carcharias (Shark S24 - 101)","en","CC_BY_4_0",2014-02-12,NA,NA,"NIWA",NA,NA,NA,NA,"NIWA","MBIS White shark tagging",NA,NA,"MACHINE_OBSERVATION",NA,NA,NA,2190,"Shark S24 - 101",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,"Shark S24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OCEANIA","Pacific Ocean",NA,NA,"NZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-46.5011,168.31,10000,NA,NA,NA,NA,"POINT (168.31 -46.5011)",NA,NA,NA,NA,NA,NA,"Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:105838",NA,NA,NA,NA,NA,NA,"Carcharodon carcharias (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Lamniformes",NA,"Lamnidae",NA,NA,NA,"Carcharodon","Carcharodon",NA,NA,"carcharias",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"d55a864e-6259-4981-83f8-7941c0c3c118","NZ",2024-01-25 00:53:20.674,NA,NA,NA,NA,NA,"COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES",NA,TRUE,FALSE,2420694,2420694,1,44,121,885,5888,2420693,NA,2420694,"Carcharodon carcharias","Carcharodon carcharias (Linnaeus, 1758)","Carcharodon carcharias",NA,"EML",2024-01-25 00:53:20.674,2023-03-26 01:37:01.679,FALSE,NA,NA,FALSE,"OCEANIA","OCEANIA",NA,NA,NA,NA,NA,NA,NA,NA,"VU"
"4",1449933345,NA,"Carcharodon carcharias (Shark S24 - 112)","en","CC_BY_4_0",2014-02-12,NA,NA,"NIWA",NA,NA,NA,NA,"NIWA","MBIS White shark tagging",NA,NA,"MACHINE_OBSERVATION",NA,NA,NA,2201,"Shark S24 - 112",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,"Shark S24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific Ocean",NA,NA,"AU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.2935,151.458,10000,NA,NA,NA,NA,"POINT (151.458 -21.2935)",NA,NA,NA,NA,NA,NA,"Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:105838",NA,NA,NA,NA,NA,NA,"Carcharodon carcharias (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Lamniformes",NA,"Lamnidae",NA,NA,NA,"Carcharodon","Carcharodon",NA,NA,"carcharias",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"d55a864e-6259-4981-83f8-7941c0c3c118","NZ",2024-01-25 00:53:20.726,NA,NA,NA,NA,NA,"COUNTRY_DERIVED_FROM_COORDINATES",NA,TRUE,FALSE,2420694,2420694,1,44,121,885,5888,2420693,NA,2420694,"Carcharodon carcharias","Carcharodon carcharias (Linnaeus, 1758)","Carcharodon carcharias",NA,"EML",2024-01-25 00:53:20.726,2023-03-26 01:37:01.679,TRUE,NA,NA,FALSE,"OCEANIA","OCEANIA",NA,NA,NA,NA,NA,NA,NA,NA,"VU"
"5",1449933344,NA,"Carcharodon carcharias (Shark S24 - 109)","en","CC_BY_4_0",2014-02-12,NA,NA,"NIWA",NA,NA,NA,NA,"NIWA","MBIS White shark tagging",NA,NA,"MACHINE_OBSERVATION",NA,NA,NA,2198,"Shark S24 - 109",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,"Shark S24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OCEANIA","Pacific Ocean",NA,NA,"NZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-44.7098,169.329,10000,NA,NA,NA,NA,"POINT (169.329 -44.7098)",NA,NA,NA,NA,NA,NA,"Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:105838",NA,NA,NA,NA,NA,NA,"Carcharodon carcharias (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Lamniformes",NA,"Lamnidae",NA,NA,NA,"Carcharodon","Carcharodon",NA,NA,"carcharias",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"d55a864e-6259-4981-83f8-7941c0c3c118","NZ",2024-01-25 00:53:20.673,NA,NA,NA,NA,NA,"COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES",NA,TRUE,FALSE,2420694,2420694,1,44,121,885,5888,2420693,NA,2420694,"Carcharodon carcharias","Carcharodon carcharias (Linnaeus, 1758)","Carcharodon carcharias",NA,"EML",2024-01-25 00:53:20.673,2023-03-26 01:37:01.679,FALSE,NA,NA,FALSE,"OCEANIA","OCEANIA","NZL","New Zealand","NZL.12_1","Otago","NZL.12.4_1","Queenstown-Lakes",NA,NA,"VU"
"6",1449933343,NA,"Carcharodon carcharias (Shark S24 - 124)","en","CC_BY_4_0",2014-02-12,NA,NA,"NIWA",NA,NA,NA,NA,"NIWA","MBIS White shark tagging",NA,NA,"MACHINE_OBSERVATION",NA,NA,NA,2213,"Shark S24 - 124",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,"Shark S24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific Ocean",NA,NA,"AU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.256,152.734,10000,NA,NA,NA,NA,"POINT (152.734 -23.256)",NA,NA,NA,NA,NA,NA,"Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:105838",NA,NA,NA,NA,NA,NA,"Carcharodon carcharias (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Lamniformes",NA,"Lamnidae",NA,NA,NA,"Carcharodon","Carcharodon",NA,NA,"carcharias",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"d55a864e-6259-4981-83f8-7941c0c3c118","NZ",2024-01-25 00:53:20.729,NA,NA,NA,NA,NA,"COUNTRY_DERIVED_FROM_COORDINATES",NA,TRUE,FALSE,2420694,2420694,1,44,121,885,5888,2420693,NA,2420694,"Carcharodon carcharias","Carcharodon carcharias (Linnaeus, 1758)","Carcharodon carcharias",NA,"EML",2024-01-25 00:53:20.729,2023-03-26 01:37:01.679,TRUE,NA,NA,FALSE,"OCEANIA","OCEANIA",NA,NA,NA,NA,NA,NA,NA,NA,"VU"
"7",1449933342,NA,"Carcharodon carcharias (Shark S24 - 111)","en","CC_BY_4_0",2014-02-12,NA,NA,"NIWA",NA,NA,NA,NA,"NIWA","MBIS White shark tagging",NA,NA,"MACHINE_OBSERVATION",NA,NA,NA,2200,"Shark S24 - 111",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,"Shark S24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific Ocean",NA,NA,"NZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-44.6035,164.119,10000,NA,NA,NA,NA,"POINT (164.119 -44.6035)",NA,NA,NA,NA,NA,NA,"Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:105838",NA,NA,NA,NA,NA,NA,"Carcharodon carcharias (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Lamniformes",NA,"Lamnidae",NA,NA,NA,"Carcharodon","Carcharodon",NA,NA,"carcharias",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"d55a864e-6259-4981-83f8-7941c0c3c118","NZ",2024-01-25 00:53:20.727,NA,NA,NA,NA,NA,"COUNTRY_DERIVED_FROM_COORDINATES",NA,TRUE,FALSE,2420694,2420694,1,44,121,885,5888,2420693,NA,2420694,"Carcharodon carcharias","Carcharodon carcharias (Linnaeus, 1758)","Carcharodon carcharias",NA,"EML",2024-01-25 00:53:20.727,2023-03-26 01:37:01.679,FALSE,NA,NA,FALSE,"OCEANIA","OCEANIA",NA,NA,NA,NA,NA,NA,NA,NA,"VU"
"8",1449933341,NA,"Carcharodon carcharias (Shark S24 - 121)","en","CC_BY_4_0",2014-02-12,NA,NA,"NIWA",NA,NA,NA,NA,"NIWA","MBIS White shark tagging",NA,NA,"MACHINE_OBSERVATION",NA,NA,NA,2210,"Shark S24 - 121",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,"Shark S24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific Ocean",NA,NA,"AU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.5492,152.828,10000,NA,NA,NA,NA,"POINT (152.828 -21.5492)",NA,NA,NA,NA,NA,NA,"Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:105838",NA,NA,NA,NA,NA,NA,"Carcharodon carcharias (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Lamniformes",NA,"Lamnidae",NA,NA,NA,"Carcharodon","Carcharodon",NA,NA,"carcharias",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"d55a864e-6259-4981-83f8-7941c0c3c118","NZ",2024-01-25 00:53:20.723,NA,NA,NA,NA,NA,"COUNTRY_DERIVED_FROM_COORDINATES",NA,TRUE,FALSE,2420694,2420694,1,44,121,885,5888,2420693,NA,2420694,"Carcharodon carcharias","Carcharodon carcharias (Linnaeus, 1758)","Carcharodon carcharias",NA,"EML",2024-01-25 00:53:20.723,2023-03-26 01:37:01.679,TRUE,NA,NA,FALSE,"OCEANIA","OCEANIA",NA,NA,NA,NA,NA,NA,NA,NA,"VU"
"9",1449933340,NA,"Carcharodon carcharias (Shark S24 - 120)","en","CC_BY_4_0",2014-02-12,NA,NA,"NIWA",NA,NA,NA,NA,"NIWA","MBIS White shark tagging",NA,NA,"MACHINE_OBSERVATION",NA,NA,NA,2209,"Shark S24 - 120",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,"Shark S24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific Ocean",NA,NA,"AU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.0372,153.058,10000,NA,NA,NA,NA,"POINT (153.058 -23.0372)",NA,NA,NA,NA,NA,NA,"Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:105838",NA,NA,NA,NA,NA,NA,"Carcharodon carcharias (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Lamniformes",NA,"Lamnidae",NA,NA,NA,"Carcharodon","Carcharodon",NA,NA,"carcharias",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"d55a864e-6259-4981-83f8-7941c0c3c118","NZ",2024-01-25 00:53:20.727,NA,NA,NA,NA,NA,"COUNTRY_DERIVED_FROM_COORDINATES",NA,TRUE,FALSE,2420694,2420694,1,44,121,885,5888,2420693,NA,2420694,"Carcharodon carcharias","Carcharodon carcharias (Linnaeus, 1758)","Carcharodon carcharias",NA,"EML",2024-01-25 00:53:20.727,2023-03-26 01:37:01.679,TRUE,NA,NA,FALSE,"OCEANIA","OCEANIA",NA,NA,NA,NA,NA,NA,NA,NA,"VU"
"10",1449933339,NA,"Carcharodon carcharias (Shark S24 - 122)","en","CC_BY_4_0",2014-02-12,NA,NA,"NIWA",NA,NA,NA,NA,"NIWA","MBIS White shark tagging",NA,NA,"MACHINE_OBSERVATION",NA,NA,NA,2211,"Shark S24 - 122",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,"Shark S24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific Ocean",NA,NA,"AU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.5492,152.828,10000,NA,NA,NA,NA,"POINT (152.828 -21.5492)",NA,NA,NA,NA,NA,NA,"Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:105838",NA,NA,NA,NA,NA,NA,"Carcharodon carcharias (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Lamniformes",NA,"Lamnidae",NA,NA,NA,"Carcharodon","Carcharodon",NA,NA,"carcharias",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"d55a864e-6259-4981-83f8-7941c0c3c118","NZ",2024-01-25 00:53:20.731,NA,NA,NA,NA,NA,"COUNTRY_DERIVED_FROM_COORDINATES",NA,TRUE,FALSE,2420694,2420694,1,44,121,885,5888,2420693,NA,2420694,"Carcharodon carcharias","Carcharodon carcharias (Linnaeus, 1758)","Carcharodon carcharias",NA,"EML",2024-01-25 00:53:20.731,2023-03-26 01:37:01.679,TRUE,NA,NA,FALSE,"OCEANIA","OCEANIA",NA,NA,NA,NA,NA,NA,NA,NA,"VU"
