"","occurrenceID","individualCount","sex","organismID","eventDate","year","month","day","waterBody","countryCode","decimalLatitude","decimalLongitude","scientificName"
"1",1462,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.395,168.201,"Carcharodon carcharias (Linnaeus, 1758)"
"2",1470,1,"MALE","Shark 78473",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.4165,168.37,"Carcharodon carcharias (Linnaeus, 1758)"
"3",1448,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.5257,166.948,"Carcharodon carcharias (Linnaeus, 1758)"
"4",1469,1,"MALE","Shark 78473",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.487,167.898,"Carcharodon carcharias (Linnaeus, 1758)"
"5",1467,1,"MALE","Shark 78473",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.2932,168.147,"Carcharodon carcharias (Linnaeus, 1758)"
"6",1435,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.4962,167.444,"Carcharodon carcharias (Linnaeus, 1758)"
"7",1466,1,"MALE","Shark 78473",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.7311,167.731,"Carcharodon carcharias (Linnaeus, 1758)"
"8",1453,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.5259,167.008,"Carcharodon carcharias (Linnaeus, 1758)"
"9",1426,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.8637,166.257,"Carcharodon carcharias (Linnaeus, 1758)"
"10",1471,1,"MALE","Shark 78473",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.3385,172.928,"Carcharodon carcharias (Linnaeus, 1758)"
"11",1459,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.6137,167.546,"Carcharodon carcharias (Linnaeus, 1758)"
"12",1455,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.5976,167.027,"Carcharodon carcharias (Linnaeus, 1758)"
"13",1456,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.6481,167.186,"Carcharodon carcharias (Linnaeus, 1758)"
"14",1458,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.6027,167.597,"Carcharodon carcharias (Linnaeus, 1758)"
"15",1465,1,"MALE","Shark 78473",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.5252,168.741,"Carcharodon carcharias (Linnaeus, 1758)"
"16",1440,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.5672,166.052,"Carcharodon carcharias (Linnaeus, 1758)"
"17",1408,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.8871,167.315,"Carcharodon carcharias (Linnaeus, 1758)"
"18",1468,1,"MALE","Shark 78473",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.4487,167.761,"Carcharodon carcharias (Linnaeus, 1758)"
"19",1444,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.6333,166.538,"Carcharodon carcharias (Linnaeus, 1758)"
"20",1464,1,"MALE","Shark 78473",2009,2009,NA,NA,"Pacific Ocean","NZ",-48.358,168.48,"Carcharodon carcharias (Linnaeus, 1758)"
"21",1472,1,"MALE","Shark 78473",2009,2009,NA,NA,"Pacific Ocean","NZ",-36.9012,172.646,"Carcharodon carcharias (Linnaeus, 1758)"
"22",1429,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.934,166.562,"Carcharodon carcharias (Linnaeus, 1758)"
"23",1442,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.5785,166.565,"Carcharodon carcharias (Linnaeus, 1758)"
"24",1463,1,"MALE","Shark 78473",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.91,168.26,"Carcharodon carcharias (Linnaeus, 1758)"
"25",1457,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.6584,167.375,"Carcharodon carcharias (Linnaeus, 1758)"
"26",1441,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.5831,166.292,"Carcharodon carcharias (Linnaeus, 1758)"
"27",1399,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.8869,167.419,"Carcharodon carcharias (Linnaeus, 1758)"
"28",1452,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.5545,167.09,"Carcharodon carcharias (Linnaeus, 1758)"
"29",1460,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.5433,167.572,"Carcharodon carcharias (Linnaeus, 1758)"
"30",1461,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.4487,167.733,"Carcharodon carcharias (Linnaeus, 1758)"
"31",1433,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.3887,167.126,"Carcharodon carcharias (Linnaeus, 1758)"
"32",1445,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.7644,166.261,"Carcharodon carcharias (Linnaeus, 1758)"
"33",1434,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.4422,167.414,"Carcharodon carcharias (Linnaeus, 1758)"
"34",1446,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.9856,166.432,"Carcharodon carcharias (Linnaeus, 1758)"
"35",1431,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.1901,166.76,"Carcharodon carcharias (Linnaeus, 1758)"
"36",1428,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.8506,166.446,"Carcharodon carcharias (Linnaeus, 1758)"
"37",1414,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.2781,167.239,"Carcharodon carcharias (Linnaeus, 1758)"
"38",1421,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.8511,166.288,"Carcharodon carcharias (Linnaeus, 1758)"
"39",1443,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.6081,166.559,"Carcharodon carcharias (Linnaeus, 1758)"
"40",1454,1,"FEMALE","Shark 78471",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.5432,166.939,"Carcharodon carcharias (Linnaeus, 1758)"
